UPI,Province,Sector,Cell,Parcel
1/11/01/01/0102,1,11,01,0102
1/11/01/01/0103,1,11,01,0103
1/11/01/01/0104,1,11,01,0104
1/11/01/01/0105,1,11,01,0105
1/11/01/01/0106,1,11,01,0106
1/11/01/01/0107,1,11,01,0107
1/11/01/01/0108,1,11,01,0108
1/11/01/01/0109,1,11,01,0109
1/11/01/01/0110,1,11,01,0110
1/11/01/01/0111,1,11,01,0111
1/11/01/01/0112,1,11,01,0112
1/11/01/01/0113,1,11,01,0113
1/11/01/02/0201,1,11,01,0201
1/11/01/02/0202,1,11,01,0202
1/11/01/02/0203,1,11,01,0203
1/11/01/02/0204,1,11,01,0204
1/11/01/02/0205,1,11,01,0205
1/11/01/03/0301,1,11,01,0301
1/11/01/03/0302,1,11,01,0302
1/11/01/03/0303,1,11,01,0303
1/11/01/03/0304,1,11,01,0304
1/11/01/03/0305,1,11,01,0305
1/11/01/03/0306,1,11,01,0306
1/11/01/03/0307,1,11,01,0307
1/11/01/04/0401,1,11,01,0401
1/11/01/04/0402,1,11,01,0402
1/11/01/04/0403,1,11,01,0403
1/11/01/04/0404,1,11,01,0404
1/11/01/04/0405,1,11,01,0405
1/11/01/04/0406,1,11,01,0406
1/11/01/05/0501,1,11,01,0501
1/11/01/05/0502,1,11,01,0502
1/11/01/05/0503,1,11,01,0503
1/11/01/05/0504,1,11,01,0504
1/11/01/05/0505,1,11,01,0505
1/11/01/05/0506,1,11,01,0506
1/11/01/05/0507,1,11,01,0507
1/11/01/05/0508,1,11,01,0508
1/11/01/05/0509,1,11,01,0509
1/11/01/05/0510,1,11,01,0510
1/11/01/05/0511,1,11,01,0511
1/11/01/06/0601,1,11,01,0601
1/11/01/06/0602,1,11,01,0602
1/11/01/06/0603,1,11,01,0603
1/11/01/06/0604,1,11,01,0604
1/11/01/06/0605,1,11,01,0605
1/11/01/06/0606,1,11,01,0606
1/11/01/06/0607,1,11,01,0607
1/11/01/06/0608,1,11,01,0608
1/11/01/06/0609,1,11,01,0609
1/11/02/01/0101,1,11,02,0101
1/11/02/01/0102,1,11,02,0102
1/11/02/01/0103,1,11,02,0103
1/11/02/01/0104,1,11,02,0104
1/11/02/01/0105,1,11,02,0105
1/11/02/01/0106,1,11,02,0106
1/11/02/02/0201,1,11,02,0201
1/11/02/02/0202,1,11,02,0202
1/11/02/02/0203,1,11,02,0203
1/11/02/02/0204,1,11,02,0204
1/11/02/02/0205,1,11,02,0205
1/11/02/02/0206,1,11,02,0206
1/11/02/02/0207,1,11,02,0207
1/11/02/02/0208,1,11,02,0208
1/11/02/03/0301,1,11,02,0301
1/11/02/03/0302,1,11,02,0302
1/11/02/03/0303,1,11,02,0303
1/11/02/03/0304,1,11,02,0304
1/11/02/03/0305,1,11,02,0305
1/11/02/03/0306,1,11,02,0306
1/11/03/01/0101,1,11,03,0101
1/11/03/01/0102,1,11,03,0102
1/11/03/01/0103,1,11,03,0103
1/11/03/01/0104,1,11,03,0104
1/11/03/01/0105,1,11,03,0105
1/11/03/01/0106,1,11,03,0106
1/11/03/01/0107,1,11,03,0107
1/11/03/01/0108,1,11,03,0108
1/11/03/01/0109,1,11,03,0109
1/11/03/01/0110,1,11,03,0110
1/11/03/02/0201,1,11,03,0201
1/11/03/02/0202,1,11,03,0202
1/11/03/02/0203,1,11,03,0203
1/11/03/02/0204,1,11,03,0204
1/11/03/02/0205,1,11,03,0205
1/11/03/02/0206,1,11,03,0206
1/11/03/02/0207,1,11,03,0207
